人名1	人名2	预测	目标
马元海	马步芳	上下级	兄弟姐妹
李烈钧	李赣骝	父母	父母
郑中基	蔡卓妍	情侣	夫妻
吕雉	刘邦	夫妻	夫妻
乔冠华	乔宗淮	父母	父母
李嘉欣	许晋亨	情侣	夫妻
吴君如	陈可辛	夫妻	夫妻
汪小菲	张兰	父母	父母
汪小菲	汪则翰	父母	父母
王政君	刘奭	父母	夫妻
薛世恒	陈法拉	情侣	情侣
赵本山	小沈阳	师生	师生
蒋经国	蒋孝章	父母	父母
潘长江	巩汉林	父母	合作
司马衷	司马炎	兄弟姐妹	父母
愍怀太子	晋惠帝	父母	父母
晋惠帝	司马炎	兄弟姐妹	父母
孙法民	焦廷标	兄弟姐妹	兄弟姐妹
甘泗淇	李贞	夫妻	夫妻
韩拱辰	英千里	夫妻	父母
陈友	谭咏麟	合作	合作
谭咏麟	钟镇涛	父母	合作
谭咏麟	叶智强	合作	合作
冯远征	梁丹妮	夫妻	夫妻
刘雪华	邓育昆	夫妻	夫妻
李伯清	刘德一	合作	合作
沈伐	刘德一	合作	合作
谢天华	李天恩	夫妻	夫妻
林凤娇	房祖名	父母	父母
项羽	虞姬	夫妻	夫妻
蓝玉	常遇春	夫妻	兄弟姐妹
黄秋燕	李连杰	夫妻	夫妻
马连良	马小曼	父母	父母
吴法宪	林彪	父母	合作
傅二石	傅抱石	师生	父母
张亚东	窦颖	情侣	夫妻
白炎	彦涵	父母	夫妻
朱岚	陶勇	夫妻	夫妻
张楚格	王亮	夫妻	夫妻
王亮	王洪礼	父母	父母
李彩媛	李在真	兄弟姐妹	兄弟姐妹
林晓峰	林珊珊	夫妻	兄弟姐妹
林珊珊	林海峰	夫妻	兄弟姐妹
田中美保	稻本润一	夫妻	夫妻
陶喆	岑洁仪	夫妻	情侣
陶大伟	陶喆	父母	父母
金庸	查品珍	夫妻	亲戚
成龙	林凤娇	夫妻	夫妻
杜审言	杜甫	父母	祖孙
施银花	屠杏花	合作	合作
黄睿靓	陈致中	夫妻	夫妻
五月天	阿信	合作	合作
陈是知	吴君如	夫妻	父母
陈是知	陈可辛	父母	父母
吴君如	陈可辛	父母	夫妻
松赞干布	文成公主	夫妻	夫妻
同治	慈禧太后	父母	父母
徐秋京	徐立清	父母	父母
元彪	成龙	同门	同门
林月云	侯佩岑	夫妻	父母
连震东	赵兰坤	夫妻	夫妻
麦浚龙	麦绍棠	兄弟姐妹	父母
赵岭	袁立	夫妻	夫妻
汤镇业	翁美玲	夫妻	情侣
高拱	张居正	夫妻	合作
陈英雪	古巨基	父母	情侣
小龙女	杨过	夫妻	夫妻
骆玉笙	王冠丽	师生	师生
洪敬尧	洪荣宏	父母	兄弟姐妹
刘秀	冯异	父母	上下级
张菲	费贞绫	兄弟姐妹	兄弟姐妹
周华健	罗大佑	合作	合作
罗大佑	李宗盛	兄弟姐妹	合作
林艾为	林心如	兄弟姐妹	兄弟姐妹
曹羲	曹爽	父母	兄弟姐妹
托勒密一世	托勒密二世	父母	父母
西施	夫差	夫妻	情侣
王亮	王洪礼	父母	父母
彭帅	谢淑薇	合作	合作
段誉	段正淳	父母	父母
张惠妹	张雨生	合作	师生
郭凯伦	郭艾伦	兄弟姐妹	兄弟姐妹
郭凯伦	郭士强	父母	亲戚
吴法宪	林彪	父母	合作
林彪	林立果	父母	父母
佟晨洁	谢晖	夫妻	夫妻
高华柱	吴敦义	夫妻	上下级
曹操	曹铄	父母	父母
孙匡	孙权	父母	兄弟姐妹
孙权	孙策	兄弟姐妹	兄弟姐妹
孙翊	吴夫人	父母	父母
邢夫人	王熙凤	父母	父母
蔡依珊	连胜文	夫妻	夫妻
夏侯睿	曹腾	父母	好友
胡友松	李宗仁	夫妻	夫妻
班超	班彪	父母	父母
朱丽倩	刘德华	父母	夫妻
文洁若	萧干	夫妻	夫妻
肖桂云	李前宽	夫妻	夫妻
甘泗淇	李贞	夫妻	夫妻
贺龙	薛明	夫妻	夫妻
范霞	王大庆	夫妻	夫妻
鲍金龙	傅全香	合作	师生
钟德海	小岚云	夫妻	亲戚
诸葛梓岐	薛嘉麟	父母	情侣
洪秀全	杨秀清	上下级	上下级
舒淇	彭于晏	情侣	情侣
沈兼士	沈尹默	父母	兄弟姐妹
钱玄同	刘半农	师生	合作
孟庆树	王明	父母	夫妻
梦鸽	李双江	父母	夫妻
张栩	林海峰	师生	师生
郭启儒	侯宝林	合作	合作
蔡依珊	连胜文	夫妻	夫妻
颜永江	唐喜成	师生	师生
陈炜	张光北	夫妻	夫妻
梦鸽	李双江	夫妻	夫妻
刘封	刘备	兄弟姐妹	父母
刘封	刘备	父母	父母
魏忠贤	魏朝	兄弟姐妹	合作
林青霞	邢李源	夫妻	夫妻
高盛麟	蕙芬	夫妻	夫妻
王梓木	敬一丹	夫妻	夫妻
刘连玉	王玉珍	同门	同门
刘连玉	荣少昌	同门	同门
周麟阁	荣少昌	同门	同门
王玉珍	荣少昌	同门	同门
李宗仁	胡友松	夫妻	夫妻
汪小菲	张雨绮	父母	情侣
汪小菲	汪则翰	父母	父母
叶群	林立果	父母	父母
黄美英	少女时代	合作	合作
郭启儒	侯宝林	合作	合作
梁思成	林徽因	夫妻	夫妻
郑律成	丁雪松	父母	夫妻
黄志忠	何音	夫妻	夫妻
林月云	侯佩岑	父母	父母
常佩业	金炳昶	夫妻	合作
赵本山	小沈阳	师生	师生
神田英	安藤武夫	师生	师生
李彦宏	马东敏	夫妻	夫妻
杨红丽	张鸣琴	师生	父母
谭嗣同	康广仁	师生	合作
文洁若	萧干	夫妻	夫妻
赵本山	小沈阳	师生	师生
小龙女	杨过	夫妻	夫妻
张东健	高小英	情侣	夫妻
班超	班彪	兄弟姐妹	父母
犬夜叉	犬大将	父母	父母
犬夜叉	杀生丸	父母	兄弟姐妹
犬大将	杀生丸	父母	父母
邱嘉雄	林月云	夫妻	情侣
唐宪宗	唐宣宗	父母	父母
李克勤	卢淑仪	情侣	夫妻
关楚耀	卫诗	情侣	情侣
石鲁	冯建吴	夫妻	兄弟姐妹
黎民伟	黎姿	父母	祖孙
经亨颐	廖承志	父母	父母
廖仲恺	廖梦醒	父母	父母
王刚	成方圆	夫妻	夫妻
刘邦	汉惠帝	夫妻	父母
李宗伟	黄妙珠	夫妻	情侣
洪天照	曹恩玉	夫妻	父母
洪天照	洪煦榆	父母	兄弟姐妹
洪天祥	洪煦榆	父母	兄弟姐妹
洪天祥	洪金宝	父母	父母
邱嘉雄	林月云	情侣	情侣
陈致中	黄睿靓	父母	夫妻
蓝心湄	黄小柔	兄弟姐妹	父母
麦迪	科比	夫妻	好友
贾代善	贾政	父母	父母
王菲	窦唯	合作	夫妻
毛泽东	毛泽建	夫妻	兄弟姐妹
车新港	陈中	夫妻	夫妻
毛泽东	贺子珍	夫妻	夫妻
陈凯歌	陈飞宇	夫妻	父母
侯耀文	袁茵	夫妻	夫妻
夏凌翔	黄希庭	合作	合作
吕后	刘邦	父母	夫妻
彭德怀	浦安修	夫妻	夫妻
鲍蕾	陆毅	夫妻	夫妻
小龙女	杨过	夫妻	夫妻
田连元	叶怡均	师生	师生
姜昆	戴志诚	合作	合作
张丹	刘相韬	夫妻	夫妻
曹丕	曹植	父母	兄弟姐妹
芳艳芬	任剑辉	合作	合作
包拯	董氏	父母	夫妻
包拯	张氏	父母	夫妻
富坚义博	武内直子	夫妻	夫妻
郭启儒	侯宝林	合作	合作
周嘉威	施闻	夫妻	夫妻
徐悲鸿	蒋碧微	夫妻	夫妻
王艳	王志才	夫妻	夫妻
苗彤	苗侨伟	情侣	父母
包兆龙	包玉刚	父母	父母
诸葛梓岐	薛嘉麟	情侣	情侣
陈望道	陈独秀	夫妻	好友
戴乃迭	杨宪益	父母	夫妻
郭襄	郭靖	父母	父母
耶律齐	郭芙	父母	夫妻
黄兴	徐宗汉	父母	夫妻
陈雨昂	陈凯歌	父母	父母
陈雨昂	陈飞宇	父母	兄弟姐妹
陈凯歌	陈飞宇	父母	父母
肖永银	杜义德	父母	上下级
郑袭	郑经	父母	亲戚
郑成功	郑经	父母	父母
张翼鹏	盖叫天	父母	父母
谷牧	刘会远	父母	父母
颜永江	唐喜成	师生	师生
张云逸	张光东	父母	父母
陈昊苏	陈毅	父母	父母
郭令山	郭晋安	父母	父母
郭晋安	欧倩怡	兄弟姐妹	夫妻
林青霞	邢李源	父母	夫妻
金敬姬	金正日	夫妻	兄弟姐妹
毛东东	刘滨	父母	父母
毛泽东	毛新宇	父母	祖孙
贺治华	朱敏	夫妻	父母
谭志道	谭富英	祖孙	祖孙
谭志道	谭鑫培	父母	父母
谭小培	谭鑫培	祖孙	父母
谭正岩	谭富英	祖孙	祖孙
赵一荻	张学良	夫妻	夫妻
薛世恒	陈法拉	情侣	情侣
西施	夫差	父母	情侣
贺治华	朱敏	夫妻	父母
律佩芳	杜近芳	师生	师生
约兰特	斯内德	夫妻	情侣
陈雨昂	陈飞宇	夫妻	兄弟姐妹
苍松	田不易	夫妻	同门
于涛	任讷	夫妻	夫妻
李宗仁	胡友松	夫妻	夫妻
陈同海	李薇	父母	情侣
杜世成	李薇	父母	情侣
戚雅仙	毕春芳	合作	合作
沙僧	孙悟空	师生	同门
唐僧	猪八戒	师生	师生
冯跋	冯弘	父母	兄弟姐妹
林彪	林立果	父母	父母
犬大将	犬夜叉	父母	父母
犬大将	杀生丸	父母	父母
犬夜叉	杀生丸	父母	兄弟姐妹
杀生丸	凌月仙姬	父母	父母
王羲之	卫夫人	师生	师生
冯巩	牛群	夫妻	合作
李恒	胡耀邦	父母	父母
陈香梅	陈纳德	夫妻	夫妻
连震东	赵兰坤	夫妻	夫妻
张末	张艺谋	父母	父母
张末	托维	父母	夫妻
谢晖	佟晨洁	夫妻	夫妻
王迎春	杨力舟	合作	夫妻
刘连玉	王玉珍	同门	同门
刘连玉	荣少昌	同门	同门
周麟阁	荣少昌	同门	同门
王玉珍	荣少昌	同门	同门
陈玉成	陈得才	合作	亲戚
赵又廷	陈意涵	情侣	情侣
章小蕙	钟镇涛	情侣	夫妻
徐慕兰	徐宗汉	兄弟姐妹	兄弟姐妹
徐佩瑶	徐宗汉	兄弟姐妹	兄弟姐妹
丁一岚	邓拓	夫妻	夫妻
肖桂云	李前宽	夫妻	夫妻
萧克	蹇先佛	夫妻	夫妻
小龙女	杨过	夫妻	夫妻
郑中基	蔡卓妍	夫妻	夫妻
中村狮童	竹内结子	情侣	夫妻
李泽楷	梁洛施	情侣	情侣
殷梨亭	张翠山	兄弟姐妹	同门
宋远桥	张翠山	夫妻	同门
周继红	田秉毅	夫妻	夫妻
梦鸽	李双江	父母	夫妻
刘国梁	王瑾	夫妻	夫妻
洪秀全	杨秀清	上下级	上下级
刘雪华	邓育昆	夫妻	夫妻
耶律阿保机	耶律倍	父母	父母
毛毛	王金龙	夫妻	夫妻
梁思成	林徽因	夫妻	夫妻
宋美龄	宋子文	兄弟姐妹	兄弟姐妹
蒋孝文	蒋方良	父母	父母
方志敏	缪敏	夫妻	夫妻
马玉成	程小东	师生	师生
岳不群	岳灵珊	夫妻	父母
焦裕禄	焦守云	父母	父母
吴洁华	贾君	父母	父母
郭京飞	陆毅	兄弟姐妹	兄弟姐妹
鲍蕾	陆毅	兄弟姐妹	夫妻
鲍莉	陆毅	兄弟姐妹	兄弟姐妹
王笑笑	金月楼	合作	合作
赖昌星	赖俊健	夫妻	父母
罗嘉良	苏岩	夫妻	夫妻
陈数	赵胤胤	夫妻	夫妻
赵本山	小沈阳	师生	师生
苏蓬	万方	合作	父母
王羲之	卫夫人	师生	师生
王光英	王光美	兄弟姐妹	兄弟姐妹
王祖贤	齐秦	情侣	情侣
刘交	刘郢客	兄弟姐妹	父母
范瑞娟	袁雪芬	合作	合作
陈叔宝	沈婺华	夫妻	夫妻
郑在成	李龙大	合作	合作
言承旭	吴建豪	合作	合作
陶大宇	黄慧宝	夫妻	夫妻
诸葛瞻	诸葛亮	父母	父母
黄承彦	黄月英	兄弟姐妹	父母
于芬	伏明霞	师生	师生
雒芊芊	陈天桥	夫妻	夫妻
言承旭	关颖	情侣	情侣
田秉毅	李永波	合作	合作
姜昆	戴志诚	合作	合作
赵岭	袁立	夫妻	夫妻
王重阳	丘处机	父母	师生
牛魔王	铁扇公主	夫妻	夫妻
帕瓦罗蒂	多明戈	合作	合作
帕瓦罗蒂	卡雷拉斯	合作	合作
梁红玉	韩世忠	夫妻	夫妻
Selina	任容萱	兄弟姐妹	兄弟姐妹
侯耀华	侯耀文	兄弟姐妹	兄弟姐妹
侯耀华	侯宝林	父母	父母
安东尼	詹姆斯	夫妻	合作
安东尼	波什	夫妻	合作
汪小菲	许雅钧	兄弟姐妹	兄弟姐妹
罗家树	罗家宝	父母	父母
织田信长	织田信定	父母	祖孙
巩汉林	赵丽蓉	父母	合作
石原伸晃	石原慎太郎	父母	父母
鲍春来	林丹	合作	合作
臧天朔	斯琴格日乐	夫妻	情侣
刘邦	吕雉	夫妻	夫妻
刘邦	汉惠帝	夫妻	父母
关楚耀	卫诗	兄弟姐妹	情侣
初永真	郭守正	父母	祖孙
郭晓玲	郭守正	父母	兄弟姐妹
郭守正	林淑如	父母	父母
陈洁如	蒋介石	夫妻	夫妻
侯耀华	侯耀文	师生	兄弟姐妹
侯耀华	侯宝林	父母	父母
曹操	曹宇	父母	父母
蒋经国	蒋孝慈	父母	父母
李嘉欣	许晋亨	夫妻	夫妻
彭帅	谢淑薇	合作	合作
李甲	杜十娘	父母	情侣
田汉	安娥	夫妻	夫妻
黄睿靓	陈致中	夫妻	夫妻
黄睿靓	陈水扁	父母	父母
刘备	刘禅	父母	父母
桑振君	刘伯玲	师生	师生
杨政	吴璘	父母	合作
梁思成	林徽因	夫妻	夫妻
康熙	顺治	父母	父母
孙彤宇	马云	父母	合作
金建杭	马云	父母	合作
陈美琪	马清伟	夫妻	夫妻
魏忠贤	王安	父母	合作
杨小娟	吕良伟	父母	夫妻
吕良伟	吕善萤	父母	亲戚
